Empresa,Região/Pais,Link,Presente_na_Super_Store
Meidi-Ya,Japan,https://en.wikipedia.org/wiki/Meidi-Ya,Sim
UNY,Japan,https://en.wikipedia.org/wiki/UNY,Sim
Flemings,Australia,https://en.wikipedia.org/wiki/Flemings_(supermarkets),Sim
Food For Less,Australia,https://en.wikipedia.org/wiki/Food_For_Less,Sim
Lotus's,Thailand,https://en.wikipedia.org/wiki/Lotus%27s,Sim
Krónan,Iceland,https://en.wikipedia.org/wiki/Kr%C3%B3nan,Não
Action Supermarkets,Australia,https://en.wikipedia.org/wiki/Action_(supermarkets),Sim
Compre Bem,Brazil,https://en.wikipedia.org/wiki/Compre_Bem,Sim
Extra Hipermercados,Brazil,https://en.wikipedia.org/wiki/Extra_(retail_chain),Sim
Sendas,Brazil,https://en.wikipedia.org/wiki/Sendas_(supermarket),Sim
Hagkaup,Iceland,https://en.wikipedia.org/wiki/Hagkaup,Não
Irma,Denmark,https://en.wikipedia.org/wiki/Irma_(supermarket),Sim
Fantastico,Bulgaria,https://en.wikipedia.org/wiki/Fantastico_(supermarket_chain),Sim
Casa Ley,Mexico,https://en.wikipedia.org/wiki/Casa_Ley,Sim
Calimax,Mexico,https://en.wikipedia.org/wiki/Calimax,Sim
Carulla,Colombia,https://en.wikipedia.org/wiki/Carulla,Sim
Salling Group,Denmark,https://en.wikipedia.org/wiki/Salling_Group,Sim
føtex,Denmark,https://en.wikipedia.org/wiki/F%C3%B8tex,Sim
Thrifty Foods,Canada,https://en.wikipedia.org/wiki/Thrifty_Foods,Sim
Minipreço,Portugal,https://en.wikipedia.org/wiki/Minipre%C3%A7o,Sim
Piccadilly,Bulgaria,https://en.wikipedia.org/wiki/Piccadilly_(supermarket_chain),Sim
Miracle Mart,Canada,https://en.wikipedia.org/wiki/Miracle_Mart,Sim
Masoutis,Greece,https://en.wikipedia.org/wiki/Masoutis,Não
Farm Boy,Canada,https://en.wikipedia.org/wiki/Farm_Boy,Sim
Supermercados Peruanos,Peru,https://en.wikipedia.org/wiki/Supermercados_Peruanos,Sim
Wong,Peru,https://en.wikipedia.org/wiki/Wong_(supermarket),Sim
China Resources,Mainland China,https://en.wikipedia.org/wiki/China_Resources,Não
Safeway (Australia),Australia,https://en.wikipedia.org/wiki/Safeway_(Australia),Sim
Roelf Vos,Australia,https://en.wikipedia.org/wiki/Roelf_Vos,Sim
Robinsons Supermarket,Philippines,https://en.wikipedia.org/wiki/Robinsons_Supermarket,Sim
SM Retail,Philippines,https://en.wikipedia.org/wiki/SM_Retail,Sim
citysuper,Hong Kong,https://en.wikipedia.org/wiki/Citysuper,Sim
Kansai Super,Japan,https://en.wikipedia.org/wiki/Kansai_Super,Sim
Extra Foods,Canada,https://en.wikipedia.org/wiki/Extra_Foods,Sim
Globus Department Store,Switzerland,https://en.wikipedia.org/wiki/Globus_(department_store),Sim
Globus,Germany,https://en.wikipedia.org/wiki/Globus_(hypermarket),Sim
Allied Stores,United States,https://en.wikipedia.org/wiki/Allied_Stores,Sim
T&T Supermarket,Canada,https://en.wikipedia.org/wiki/T%26T_Supermarket,Sim
Match,Belgium,https://en.wikipedia.org/wiki/Match_(supermarket),Sim
C-market,Serbia,https://en.wikipedia.org/wiki/C-market,Não
Tegut,Germany,https://en.wikipedia.org/wiki/Tegut,Sim
Comet,United Kingdom,https://en.wikipedia.org/wiki/Comet_Group,Sim
