Empresa,Região/Pais,Link,Presente_na_Super_Store
Selex,Italy,https://en.wikipedia.orghttps://it.wikipedia.org/wiki/Selex,Sim
Selgros,Germany,https://en.wikipedia.org/wiki/Selgros,Sim
SISA,Italy,https://en.wikipedia.orghttps://it.wikipedia.org/wiki/SISA_(azienda),Sim
SPAR,Netherlands,https://en.wikipedia.org/wiki/Spar_(retailer),Sim
Stockmann,Finland,https://en.wikipedia.org/wiki/Stockmann,Sim
SuperValu,Canada,https://en.wikipedia.org/wiki/SuperValu_(Canada),Sim
SuperValu,Ireland,https://en.wikipedia.org/wiki/SuperValu_(Ireland),Sim
SuperValu,United States,https://en.wikipedia.org/wiki/SuperValu_(United_States),Sim
SuperValue,New Zealand,https://en.wikipedia.org/wiki/SuperValue,Sim
Tesco,United Kingdom,https://en.wikipedia.org/wiki/Tesco,Sim
Tía SA,Ecuador,https://en.wikipedia.org/wiki/T%C3%ADa_SA,Sim
TF Value Mart,Malaysia,https://en.wikipedia.org/w/index.php?title=TF_Value_Mart&action=edit&redlink=1,Sim
Veropoulos,Greece,https://en.wikipedia.org/wiki/Veropoulos,Não
Walmart,United States,https://en.wikipedia.org/wiki/Walmart,Sim
Wellcome,Hong Kong,https://en.wikipedia.org/wiki/Wellcome,Sim
Whole Foods Market,United States,https://en.wikipedia.org/wiki/Whole_Foods_Market,Sim
Woolworths Supermarkets,Australia,https://en.wikipedia.org/wiki/Woolworths_Supermarkets,Sim
A&P,United States,https://en.wikipedia.org/wiki/A%26P,Sim
Albertsons,United States,https://en.wikipedia.org/wiki/Albertsons,Sim
Barber's Super Market,United States,https://en.wikipedia.org/w/index.php?title=Barber%27s_Super_Market&action=edit&redlink=1,Sim
BI-LO,United States,https://en.wikipedia.org/wiki/BI-LO_(United_States),Sim
BI-LO,Australia,https://en.wikipedia.org/wiki/Bi-Lo_(Australia),Sim
Byerly's,United States,https://en.wikipedia.org/wiki/Lunds_%26_Byerlys,Sim
Cub,United States,https://en.wikipedia.org/wiki/Cub_(supermarket),Sim
Remke Markets,United States,https://en.wikipedia.org/wiki/Remke_Markets,Sim
Giant Food Stores,United States,https://en.wikipedia.org/wiki/The_Giant_Company,Sim
Grand Union,United States,https://en.wikipedia.org/wiki/Grand_Union_(supermarket),Sim
Food City,United States,https://en.wikipedia.org/wiki/Food_City_(K-VA-T),Sim
Food Lion,United States,https://en.wikipedia.org/wiki/Food_Lion,Sim
FOODWAY Discount Foods,United States,https://en.wikipedia.org/w/index.php?title=FOODWAY_Discount_Foods&action=edit&redlink=1,Sim
Ingles,United States,https://en.wikipedia.org/wiki/Ingles,Sim
Jewel,United States,https://en.wikipedia.org/wiki/Jewel-Osco,Sim
Kohl's,United States,https://en.wikipedia.org/wiki/Kohl%27s,Sim
Kowalski's,United States,https://en.wikipedia.org/wiki/Kowalski%27s_Markets,Sim
Kroger,United States,https://en.wikipedia.org/wiki/Kroger,Sim
Piggly Wiggly,United States,https://en.wikipedia.org/wiki/Piggly_Wiggly,Sim
Safeway,United States,https://en.wikipedia.org/wiki/Safeway,Sim
Winn-Dixie,United States,https://en.wikipedia.org/wiki/Winn-Dixie,Sim
Dominion,Canada,https://en.wikipedia.org/wiki/Dominion_Stores,Sim
Sobey's,Canada,https://en.wikipedia.org/wiki/Sobeys,Sim
Real Canadian Superstore,Canada,https://en.wikipedia.org/wiki/Real_Canadian_Superstore,Sim
Provigo,Canada,https://en.wikipedia.org/wiki/Provigo,Sim
IGA,United States,https://en.wikipedia.org/wiki/IGA_(supermarkets),Sim
IGA (Australia),Australia,https://en.wikipedia.org/wiki/IGA_Supermarkets_(Australia),Sim
Metro,Canada,https://en.wikipedia.org/wiki/Metro_Inc.,Sim
Maxi (Canada),Canada,https://en.wikipedia.org/wiki/Maxi_(Canadian_supermarket),Sim
Maxi (Serbia),Serbia,https://en.wikipedia.org/wiki/Maxi_(Serbian_supermarket),Não
ICA Gruppen,Sweden,https://en.wikipedia.org/wiki/ICA_Gruppen,Sim
Norma,Germany,https://en.wikipedia.org/wiki/Norma_(supermarket),Sim
PLUS,Netherlands,https://en.wikipedia.org/wiki/PLUS_(Dutch_supermarket),Sim
Plus,Germany,https://en.wikipedia.org/wiki/Plus_(German_supermarket),Sim
Ahold,Netherlands,https://en.wikipedia.org/wiki/Ahold,Sim
Ahold,Netherlands,https://en.wikipedia.org/wiki/Ahold,Sim
Coopérative U,France,https://en.wikipedia.org/wiki/Coop%C3%A9rative_U,Sim
Konsum,Germany,https://en.wikipedia.org/wiki/Konsum_(East_Germany),Sim
Kooperativa Förbundet,Sweden,https://en.wikipedia.org/wiki/Kooperativa_F%C3%B6rbundet,Sim
ASDA,United Kingdom,https://en.wikipedia.org/wiki/ASDA,Sim
Budgens,United Kingdom,https://en.wikipedia.org/wiki/Budgens,Sim
Happy Shopper,United Kingdom,https://en.wikipedia.org/wiki/Happy_Shopper,Sim
Marks & Spencer,United Kingdom,https://en.wikipedia.org/wiki/Marks_%26_Spencer,Sim
Victor Value,United Kingdom,https://en.wikipedia.org/wiki/Victor_Value,Sim
Sainsbury's,United Kingdom,https://en.wikipedia.org/wiki/Sainsbury%27s,Sim
Waitrose,United Kingdom,https://en.wikipedia.org/wiki/Waitrose,Sim
Ralphs,United States,https://en.wikipedia.org/wiki/Ralphs,Sim
Smith's Food and Drug,United States,https://en.wikipedia.org/wiki/Smith%27s_Food_and_Drug,Sim
Vons,United States,https://en.wikipedia.org/wiki/Vons,Sim
Morrisons,United Kingdom,https://en.wikipedia.org/wiki/Morrisons,Sim
Colruyt,Belgium,https://en.wikipedia.org/wiki/Colruyt_(supermarket),Sim
GB,Belgium,https://en.wikipedia.org/wiki/GB_(supermarket),Sim
Ed,France,https://en.wikipedia.org/wiki/Ed_(supermarket),Sim
Leader Price,France,https://en.wikipedia.org/wiki/Leader_Price,Sim
Franprix,France,https://en.wikipedia.org/wiki/Franprix,Sim
Inno,Belgium,https://en.wikipedia.org/wiki/Galeria_Inno,Sim
Monoprix,France,https://en.wikipedia.org/wiki/Monoprix,Sim
Système U,France,https://en.wikipedia.org/wiki/Syst%C3%A8me_U,Sim
Uniprix,Canada,https://en.wikipedia.org/wiki/Uniprix,Sim
Rainbow Foods,United States,https://en.wikipedia.org/wiki/Rainbow_Foods,Sim
Fry's Food and Drug,United States,https://en.wikipedia.org/wiki/Fry%27s_Food_and_Drug,Sim
Amigo,Puerto Rico,https://en.wikipedia.org/wiki/Amigo_Supermarkets,Não
Econo,Puerto Rico,https://en.wikipedia.org/wiki/Supermercados_Econo,Não
Obs,Norway,https://en.wikipedia.org/wiki/Obs_(Coop),Sim
Bilka,Denmark,https://en.wikipedia.org/wiki/Bilka,Sim
Pueblo,Uruguay,https://en.wikipedia.org/wiki/Pueblo_Supermarkets,Sim
Safeway UK,United Kingdom,https://en.wikipedia.org/wiki/Safeway_(UK),Sim
Lucky Stores,United States,https://en.wikipedia.org/wiki/Lucky_Stores,Sim
Kwik Save,United Kingdom,https://en.wikipedia.org/wiki/Kwik_Save,Sim
Somerfield,United Kingdom,https://en.wikipedia.org/wiki/Somerfield,Sim
Co-op,United Kingdom,https://en.wikipedia.org/wiki/Co-op,Sim
Save-Mart,United States,https://en.wikipedia.org/wiki/Save_Mart_Supermarkets,Sim
Super de Boer,Netherlands,https://en.wikipedia.org/wiki/Super_de_Boer,Sim
Kmart,United States,https://en.wikipedia.org/wiki/Kmart,Sim
Carrs-Safeway,United States,https://en.wikipedia.org/wiki/Carrs-Safeway,Sim
Genuardi's,United States,https://en.wikipedia.org/wiki/Genuardi%27s,Sim
Pavilions,United States,https://en.wikipedia.org/wiki/Pavilions_(supermarket),Sim
Randalls,United States,https://en.wikipedia.org/wiki/Randalls,Sim
Tom Thumb,United States,https://en.wikipedia.org/wiki/Tom_Thumb_(grocery_store),Sim
